condition,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,0,29173,1000,9.14594807343201,72.0,3,3,True,0.04654151201248169,3,0,2,3,0,0,75,0,3,3,-0.03789970159530642,True,0.0
task_only,1,29174,1000,5.20722726750887,146.0,3,2,True,0.0027437210083007812,3,0,3,3,0,0,75,0,3,3,-0.035599617958068874,True,0.0
task_only,2,29175,1000,4.72012300490087,50.0,1,2,True,0.023755967617034912,1,0,1,1,0,0,25,0,1,1,-0.03771194696426394,True,0.0
task_only,3,29176,1000,4.321988776822877,53.0,1,2,True,0.10420757532119751,1,0,1,1,0,0,25,0,1,1,-0.034086673259735134,True,0.0
task_only,4,29177,1000,5.950327566826331,12.0,1,2,True,0.18758904933929443,1,0,1,1,0,0,25,0,1,1,-0.0395208287239075,True,0.0
task_only,5,29178,1000,3.25078398592359,210.0,3,1,True,0.05990856885910034,3,0,2,3,0,0,75,0,3,3,-0.03174885988235476,True,0.0
task_only,6,29179,1000,5.588683695084001,42.0,1,2,True,0.14589393138885498,1,0,1,1,0,0,25,0,1,1,-0.030608921051025417,True,0.0
task_only,7,29180,1000,5.035417111270135,31.0,1,2,True,0.16179674863815308,1,0,1,1,0,0,25,0,1,1,-0.03232875347137454,True,0.0
task_only,8,29181,1000,7.003807933240751,29.0,3,2,True,0.11515974998474121,3,0,3,3,0,0,75,0,3,3,-0.03213420391082766,True,0.0
task_only,9,29182,1000,4.357085996245587,78.0,1,2,True,0.12395632266998291,1,0,1,1,0,0,25,0,1,1,-0.0387891221046448,True,0.0
task_only,10,29183,1000,3.3208953428556924,55.0,2,1,True,0.17260462045669556,2,0,2,2,0,0,50,0,2,2,-0.032956748008728054,True,0.0
task_only,11,29184,1000,5.964976152105109,0.0,0,2,True,0.27000510692596436,0,0,0,0,0,0,0,0,0,0,,True,0.0
task_only,12,29185,1000,9.28821175500525,20.0,1,3,True,0.09525418281555176,1,0,1,1,0,0,25,0,1,1,-0.03273770093917849,True,0.0
task_only,13,29186,1000,4.985958900557989,25.0,1,2,True,0.14868217706680298,1,0,0,1,0,0,25,0,1,1,-0.03837355852127078,True,0.0
task_only,14,29187,1000,5.274051644119027,0.0,1,2,True,0.20551139116287231,1,0,1,1,0,0,25,0,1,1,-0.03271087884902957,True,0.0
task_only,15,29188,1000,7.240039148713549,0.0,0,2,True,0.2400607466697693,1,1,0,0,0,15,0,0,0,1,0.10456690311431882,True,0.0
task_only,16,29189,1000,8.262304444393294,0.0,0,3,True,0.25784915685653687,0,0,0,0,0,0,0,0,0,0,,True,0.0
task_only,17,29190,1000,5.573741432081988,68.0,2,2,True,0.05331605672836304,2,0,2,2,0,0,50,0,2,2,-0.037233083248138454,True,0.0
task_only,18,29191,1000,5.428881970119619,87.0,2,2,True,0.007176518440246582,3,1,1,1,1,17,25,6,2,2,-0.03598746538162234,True,0.0
task_only,19,29192,1000,5.6944228512114705,0.0,0,2,True,0.2968420386314392,0,0,0,0,0,0,0,0,0,0,,True,0.0
