condition,training_seed,episode_count,action_step_count,trigger_count,triggers_per_episode,on_time_recovery_count,on_time_recovery_rate_per_trigger,mean_on_time_recovery_latency_steps,deadline_violation_count,terminal_unresolved_count,missed_obligation_count,missed_obligation_rate_per_trigger,missed_obligations_per_episode,mean_deadline_violation_cost_delay_steps,mean_terminal_unresolved_cost_delay_steps,positive_cost_step_count,positive_cost_frequency_per_action_step,mean_episode_return,mean_native_cost_per_episode,goal_success_rate
task_only,1101,100,100000,707,7.07,558,0.7892503536067893,41.422939068100355,117,32,149,0.21074964639321075,1.49,79.0,32.15625,149,0.00149,24.55232810100081,56.01,1.0
task_only,2202,100,100000,605,6.05,377,0.6231404958677685,48.91511936339523,182,46,228,0.3768595041322314,2.28,79.0,33.97826086956522,228,0.00228,18.684391325863526,77.19,1.0
task_only,3303,100,100000,671,6.71,493,0.7347242921013413,41.05273833671399,146,32,178,0.26527570789865873,1.78,79.0,29.65625,178,0.00178,25.316578576524503,61.21,1.0
task_only,4404,100,100000,700,7.0,539,0.77,40.688311688311686,128,33,161,0.23,1.61,79.0,23.424242424242426,161,0.00161,25.37998871067565,53.0,1.0
task_only,5505,100,100000,667,6.67,517,0.775112443778111,39.87620889748549,121,29,150,0.22488755622188905,1.5,79.0,32.793103448275865,150,0.0015,25.659687008271444,50.97,1.0
native_cost,1101,100,100000,371,3.71,254,0.6846361185983828,47.75590551181102,100,17,117,0.31536388140161725,1.17,79.0,30.41176470588235,117,0.00117,11.531221829403894,39.53,0.97
native_cost,2202,100,100000,353,3.53,201,0.5694050991501416,46.582089552238806,135,17,152,0.43059490084985835,1.52,79.0,36.588235294117645,152,0.00152,11.091950811438686,40.28,0.98
native_cost,3303,100,100000,589,5.89,450,0.7640067911714771,41.37777777777778,109,30,139,0.23599320882852293,1.39,79.0,32.13333333333333,139,0.00139,21.303086976486735,47.25,1.0
native_cost,4404,100,100000,485,4.85,351,0.7237113402061855,42.635327635327634,117,17,134,0.27628865979381445,1.34,79.0,35.8235294117647,134,0.00134,15.817916348292457,48.61,0.99
native_cost,5505,100,100000,529,5.29,381,0.720226843100189,41.6010498687664,118,30,148,0.27977315689981097,1.48,79.0,28.8,148,0.00148,19.336554154371637,42.02,1.0
gold_stl_cost,1101,100,100000,672,6.72,478,0.7113095238095238,44.07740585774059,162,32,194,0.28869047619047616,1.94,79.0,31.53125,194,0.00194,21.988046533907653,74.28,1.0
gold_stl_cost,2202,100,100000,658,6.58,501,0.7613981762917933,43.18962075848303,125,32,157,0.23860182370820668,1.57,79.0,29.71875,157,0.00157,19.953640400045288,59.88,1.0
gold_stl_cost,3303,100,100000,646,6.46,467,0.7229102167182663,40.57173447537473,138,41,179,0.2770897832817337,1.79,79.0,29.853658536585368,179,0.00179,24.667866319175097,54.12,1.0
gold_stl_cost,4404,100,100000,687,6.87,506,0.7365356622998545,40.47430830039526,142,39,181,0.26346433770014555,1.81,79.0,25.41025641025641,181,0.00181,25.61827199117915,58.68,1.0
gold_stl_cost,5505,100,100000,648,6.48,497,0.7669753086419753,40.94969818913481,117,34,151,0.2330246913580247,1.51,79.0,28.794117647058822,151,0.00151,24.9647818121428,52.38,1.0
