replicate,absolute_reduction_task_minus_gold,relative_reduction,goal_success_difference_gold_minus_task
0,-0.036038324579395487,-0.15864245826371534,0.0
1,-0.036355965852690075,-0.16458824851140313,0.0
2,-0.0021798037529247583,-0.007921144785218383,0.0
3,-0.0025696380656044515,-0.009869746206526189,0.0
4,0.004009703056105263,0.014835457265169084,0.0
5,0.00375433499808564,0.014102381920726725,0.0
6,-0.008201759898526284,-0.032381476580502354,0.0
7,-0.04081476659999128,-0.18301982792239435,0.0
8,-0.0011834789394196132,-0.004589193190229426,0.0
9,-0.018901132046982683,-0.07364163349460348,0.0
10,0.0317673087838386,0.11198916713355371,0.0
11,0.13109414406463182,0.35450977281319285,0.0
12,-0.022166742517824994,-0.09713580246913568,0.0
13,-0.0021095118630404253,-0.008291277169237898,0.0
14,-0.01106585353961037,-0.041239956907181824,0.0
15,-0.03694350821563455,-0.15311635390352457,0.0
16,0.004805674546053684,0.01791853565062206,0.0
17,-0.003999735773029034,-0.015101508072427388,0.0
18,0.018105972564032458,0.06461959173715032,0.0
19,0.045487054176625685,0.16237281400308515,0.0
20,-0.019351535678843068,-0.08190705959589921,0.0
21,-0.05194811019992435,-0.22523965962946996,0.0
22,-0.019110522432506882,-0.07567586595325249,0.0
23,-0.010892064317427314,-0.04437209965475924,0.0
24,-0.03498157563598539,-0.1433525511854347,0.0
25,-0.0089082887070156,-0.03491925015816219,0.0
26,-0.02008693240920728,-0.08268056408533118,0.0
27,-0.01866090359409947,-0.07663500576713513,0.0
28,-0.04367564544605798,-0.1856888107250406,0.0
29,-0.02804817205311641,-0.12344862131090582,0.0
30,0.0621424182064757,0.19543884396658975,0.0
31,-0.0699942528090289,-0.318056786080406,0.0
32,0.00222288085358624,0.00889152341434496,0.0
33,0.05874322598703691,0.20152103506687635,0.0
34,-0.04560971584094567,-0.20084379283301673,0.0
35,-0.045470176018125086,-0.20672712596127393,0.0
36,-0.010615976079370537,-0.040954237639528435,0.0
37,0.008303757871327033,0.030268536756772737,0.0
38,-0.05012085049117254,-0.2188233622947934,0.0
39,-0.0290208765443232,-0.1284328153450899,0.0
40,0.00782445887023031,0.02900324698077505,0.0
41,0.04135084322234078,0.14142327323378434,0.0
42,-0.011672149606233861,-0.04660649655197249,0.0
43,-0.03754917556808196,-0.1610085271440713,0.0
44,-0.03017471479047465,-0.12843497864261977,0.0
45,0.003648554625385103,0.013183022400497636,0.0
46,-0.032261696757911074,-0.13920021443768738,0.0
47,0.08877681594333009,0.2716189104984894,0.0
48,-0.0031078637010856225,-0.011736550448706492,0.0
49,-0.02464657813718496,-0.10990162810512555,0.0
50,-0.026703580192537574,-0.11843500586035599,0.0
51,-0.03534805837437416,-0.15212858070000926,0.0
52,0.023984322282689707,0.08557982825404659,0.0
