episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference,condition,training_seed
0,10000,1000.0,25.21663104243555,52.0,1.0,12.0,True,0.056429922580718994,10.0,9.0,0.0,0.0,1.0,9.0,0.06735939979553218,True,0.0,task_only,1101
1,10001,1000.0,27.3961252112058,37.0,1.0,13.0,True,0.008654773235321045,7.0,6.0,1.0,1.0,0.0,7.0,-0.01038979291915898,True,0.0,task_only,1101
2,10002,1000.0,24.415883790512453,14.0,0.0,13.0,True,0.10172832012176514,5.0,5.0,0.0,0.0,0.0,5.0,0.0615261316299438,True,0.0,task_only,1101
3,10003,1000.0,25.609829907960375,97.0,2.0,12.0,True,0.017042577266693115,7.0,5.0,2.0,2.0,0.0,7.0,-0.09335212707519536,True,0.0,task_only,1101
4,10004,1000.0,25.678681842160586,116.0,1.0,11.0,True,0.005511939525604248,10.0,9.0,0.0,0.0,1.0,9.0,0.04014588594436641,True,0.0,task_only,1101
5,10005,1000.0,26.8447353740994,0.0,1.0,13.0,True,0.2324092984199524,7.0,6.0,1.0,1.0,0.0,7.0,-0.017087447643280074,True,0.0,task_only,1101
6,10006,1000.0,25.838273776346796,0.0,1.0,14.0,True,0.2375349998474121,7.0,6.0,0.0,0.0,1.0,6.0,0.1684836864471435,True,0.0,task_only,1101
7,10007,1000.0,24.863032405397007,37.0,1.0,11.0,True,0.026029586791992188,12.0,11.0,0.0,0.0,1.0,10.0,0.011634182929992631,True,0.0,task_only,1101
8,10008,1000.0,24.028574391576285,78.0,2.0,11.0,True,0.0366436243057251,8.0,6.0,2.0,2.0,0.0,7.0,-0.10230945348739628,True,0.0,task_only,1101
9,10009,1000.0,24.554941347153544,57.0,1.0,12.0,True,0.07728856801986694,8.0,7.0,1.0,1.0,0.0,7.0,-0.0006671428680420366,True,0.0,task_only,1101
10,10010,1000.0,25.097376166111644,32.0,1.0,13.0,True,0.028505980968475342,8.0,7.0,0.0,0.0,1.0,7.0,0.13956625461578365,True,0.0,task_only,1101
11,10011,1000.0,24.622690400613465,20.0,1.0,14.0,True,0.13662725687026978,6.0,5.0,1.0,1.0,0.0,6.0,-0.10498290061950688,True,0.0,task_only,1101
12,10012,1000.0,24.43481225137657,16.0,1.0,12.0,True,0.0270538330078125,3.0,2.0,1.0,1.0,0.0,3.0,-0.07407777309417729,True,0.0,task_only,1101
13,10013,1000.0,25.598727792010777,102.0,2.0,11.0,True,0.02450716495513916,7.0,5.0,2.0,2.0,0.0,6.0,-0.12372760772705083,True,0.0,task_only,1101
14,10014,1000.0,23.7570646511399,103.0,1.0,11.0,True,0.01351940631866455,8.0,7.0,1.0,1.0,0.0,8.0,-0.100743579864502,True,0.0,task_only,1101
15,10015,1000.0,24.6787117424974,11.0,0.0,12.0,True,0.12755298614501953,4.0,4.0,0.0,0.0,0.0,4.0,0.04929043054580684,True,0.0,task_only,1101
16,10016,1000.0,24.739395139978114,49.0,2.0,11.0,True,0.041041553020477295,10.0,8.0,2.0,2.0,0.0,9.0,-0.10421650409698491,True,0.0,task_only,1101
