condition,training_seed,episode_count,trigger_count,deadline_violation_count,terminal_unresolved_count,missed_obligation_count,missed_obligation_rate_per_trigger,deadline_violation_rate_per_trigger,terminal_unresolved_rate_per_trigger,triggers_per_episode,triggered_episode_rate,missed_obligations_per_episode,native_cost_per_episode,stl_cost_per_episode,episode_return,goal_success_rate,goal_events_per_episode,mean_episode_length,all_online_oracle_agree,rtamt_max_robustness_difference
task_only,1101,100,707,117,32,149,0.21074964639321075,0.16548797736916548,0.04526166902404526,7.07,1.0,1.49,56.01,1.49,24.55232810100081,1.0,11.52,1000.0,True,0.0
task_only,2202,100,605,182,46,228,0.3768595041322314,0.30082644628099175,0.07603305785123966,6.05,1.0,2.28,77.19,2.28,18.68439132586353,1.0,8.76,1000.0,True,0.0
task_only,3303,100,671,146,32,178,0.26527570789865873,0.21758569299552907,0.04769001490312966,6.71,1.0,1.78,61.21,1.78,25.316578576524506,1.0,12.02,1000.0,True,0.0
task_only,4404,100,700,128,33,161,0.23,0.18285714285714286,0.047142857142857146,7.0,1.0,1.61,53.0,1.61,25.379988710675654,1.0,12.01,1000.0,True,0.0
task_only,5505,100,667,121,29,150,0.22488755622188905,0.18140929535232383,0.043478260869565216,6.67,0.99,1.5,50.97,1.5,25.659687008271447,1.0,12.14,1000.0,True,0.0
native_cost,1101,100,371,100,17,117,0.31536388140161725,0.2695417789757412,0.04582210242587601,3.71,0.98,1.17,39.53,1.17,11.531221829403897,0.97,5.57,1000.0,True,0.0
native_cost,2202,100,353,135,17,152,0.43059490084985835,0.38243626062322944,0.04815864022662889,3.53,0.98,1.52,40.28,1.52,11.091950811438686,0.98,5.26,1000.0,True,0.0
native_cost,3303,100,589,109,30,139,0.23599320882852293,0.18505942275042445,0.050933786078098474,5.89,1.0,1.39,47.25,1.39,21.303086976486735,1.0,10.21,1000.0,True,0.0
native_cost,4404,100,485,117,17,134,0.27628865979381445,0.24123711340206186,0.03505154639175258,4.85,0.95,1.34,48.61,1.34,15.817916348292455,0.99,7.61,1000.0,True,0.0
native_cost,5505,100,529,118,30,148,0.27977315689981097,0.22306238185255198,0.05671077504725898,5.29,0.99,1.48,42.02,1.48,19.336554154371637,1.0,9.2,1000.0,True,0.0
gold_stl_cost,1101,100,672,162,32,194,0.28869047619047616,0.24107142857142858,0.047619047619047616,6.72,1.0,1.94,74.28,1.94,21.988046533907653,1.0,10.42,1000.0,True,0.0
gold_stl_cost,2202,100,658,125,32,157,0.23860182370820668,0.1899696048632219,0.0486322188449848,6.58,1.0,1.57,59.88,1.57,19.95364040004529,1.0,9.5,1000.0,True,0.0
gold_stl_cost,3303,100,646,138,41,179,0.2770897832817337,0.21362229102167182,0.06346749226006192,6.46,1.0,1.79,54.12,1.79,24.667866319175094,1.0,11.67,1000.0,True,0.0
gold_stl_cost,4404,100,687,142,39,181,0.26346433770014555,0.2066957787481805,0.056768558951965066,6.87,1.0,1.81,58.68,1.81,25.61827199117915,1.0,12.08,1000.0,True,0.0
gold_stl_cost,5505,100,648,117,34,151,0.2330246913580247,0.18055555555555555,0.05246913580246913,6.48,1.0,1.51,52.38,1.51,24.9647818121428,1.0,11.83,1000.0,True,0.0
